name,airport,Type,Latitude,Longitude,InitialHeading,InitialAltitude
103,ZBAA,STAND,40.0812681,116.5841994,302,36
104,ZBAA,STAND,40.0816707,116.5842407,263,36
105,ZBAA,STAND,40.0819525,116.5840072,217,36
106,ZBAA,STAND,40.0821535,116.5836267,176,36
107,ZBAA,STAND,40.0818987,116.5828709,173,36
108,ZBAA,STAND,40.081344,116.582844,70,36
110,ZBAA,STAND,40.0816383,116.5811978,235,36
111,ZBAA,STAND,40.0818376,116.5808082,183,36
112,ZBAA,STAND,40.0817749,116.5803776,150,36
113,ZBAA,STAND,40.0815684,116.5799466,125,36
114,ZBAA,STAND,40.0811293,116.5798292,83,36
115,ZBAA,STAND,40.0807982,116.5801135,48,36
116,ZBAA,STAND,40.0806169,116.5805677,24,36
205,ZBAA,STAND,40.07644371,116.5872721,118,36
206,ZBAA,STAND,40.07600252,116.5869728,97,36
207,ZBAA,STAND,40.07559247,116.5870666,67,36
208,ZBAA,STAND,40.07519555,116.5874486,37,36
209,ZBAA,STAND,40.07499851,116.587988,353,36
210,ZBAA,STAND,40.07514574,116.5887196,353,36
211,ZBAA,STAND,40.07532454,116.589525,353,36
212,ZBAA,STAND,40.07544542,116.5903668,353,36
213,ZBAA,STAND,40.07542381,116.5912144,353,36
214,ZBAA,STAND,40.07560749,116.5917701,315,36
215,ZBAA,STAND,40.07607747,116.5919979,263,36
216,ZBAA,STAND,40.07654988,116.5919547,245,36
217,ZBAA,STAND,40.07693445,116.5915015,221,36
218,ZBAA,STAND,40.0769781,116.5906755,205,36
219,ZBAA,STAND,40.07761801,116.5903252,263,36
220,ZBAA,STAND,40.0782303,116.5902296,263,36
221,ZBAA,STAND,40.07901539,116.5901052,263,36
222,ZBAA,STAND,40.07964436,116.5899945,263,36
223,ZBAA,STAND,40.08024798,116.5899145,263,36
224,ZBAA,STAND,40.08085746,116.5898347,263,36
226,ZBAA,STAND,40.0816461,116.5907534,328,36
227,ZBAA,STAND,40.082027,116.591047,295,36
228,ZBAA,STAND,40.082474,116.591035,263,36
229,ZBAA,STAND,40.082922,116.590867,235,36
230,ZBAA,STAND,40.08288607,116.5902776,173,36
231,ZBAA,STAND,40.08283235,116.5896245,173,36
232,ZBAA,STAND,40.08277405,116.5890046,173,36
233,ZBAA,STAND,40.0825988,116.5883821,173,36
234,ZBAA,STAND,40.0825449,116.5877289,173,36
235,ZBAA,STAND,40.0826095,116.5870574,173,36
236,ZBAA,STAND,40.0824893,116.5864846,153,36
237,ZBAA,STAND,40.0821913,116.5861076,110,36
238,ZBAA,STAND,40.08181215,116.5861507,83,36
239,ZBAA,STAND,40.0815037,116.5863517,45,36
240,ZBAA,STAND,40.0812973,116.5867126,35,36
251,ZBAA,STAND,40.07469586,116.5855956,353,36
252,ZBAA,STAND,40.07463985,116.5849524,353,36
253,ZBAA,STAND,40.07458384,116.5843027,353,36
254,ZBAA,STAND,40.07451001,116.5836551,353,36
261,ZBAA,STAND,40.07566814,116.585734,83,36
262,ZBAA,STAND,40.07597913,116.5857215,83,36
263,ZBAA,STAND,40.07627453,116.5856469,83,36
264,ZBAA,STAND,40.07656119,116.5856441,83,36
265,ZBAA,STAND,40.07643147,116.5841389,263,36
266,ZBAA,STAND,40.07613208,116.5841813,263,36
267,ZBAA,STAND,40.07583626,116.5842309,263,36
268,ZBAA,STAND,40.07553441,116.5842625,263,36
301,ZBAA,STAND,40.05405015,116.6144024,200,36
302,ZBAA,STAND,40.05433368,116.6136069,200,36
303,ZBAA,STAND,40.05457737,116.612811,200,36
304,ZBAA,STAND,40.05498118,116.6119175,210,36
305,ZBAA,STAND,40.0553771,116.6114101,220,36
306,ZBAA,STAND,40.05581001,116.6109736,230,36
307,ZBAA,STAND,40.05639908,116.610568,250,36
308,ZBAA,STAND,40.0571903,116.6104977,263,36
309,ZBAA,STAND,40.05783662,116.6105737,263,36
310,ZBAA,STAND,40.05812846,116.6101057,263,36
311,ZBAA,STAND,40.0586284,116.6104386,263,36
312,ZBAA,STAND,40.05893682,116.6099733,263,36
313,ZBAA,STAND,40.05943913,116.610318,263,36
314,ZBAA,STAND,40.05974005,116.6098446,263,36
315,ZBAA,STAND,40.0604179,116.6101547,263,36
316,ZBAA,STAND,40.06071489,116.609695,263,36
317,ZBAA,STAND,40.06122032,116.6100361,263,36
318,ZBAA,STAND,40.0615239,116.6095708,263,36
319,ZBAA,STAND,40.06127038,116.6063958,83,36
320,ZBAA,STAND,40.06097332,116.6068638,83,36
321,ZBAA,STAND,40.06046077,116.6065146,83,36
322,ZBAA,STAND,40.06016607,116.6069989,83,36
323,ZBAA,STAND,40.05948434,116.6066811,83,36
324,ZBAA,STAND,40.05918548,116.6071451,83,36
325,ZBAA,STAND,40.05867142,116.6067863,83,36
326,ZBAA,STAND,40.05838522,116.6072681,83,36
327,ZBAA,STAND,40.05786977,116.6069275,83,36
328,ZBAA,STAND,40.05757351,116.6073963,83,36
329,ZBAA,STAND,40.05706436,116.6070564,83,36
330,ZBAA,STAND,40.05677043,116.6075168,83,36
331,ZBAA,STAND,40.05610507,116.6074239,93,36
332,ZBAA,STAND,40.05545975,116.60721,103,36
333,ZBAA,STAND,40.05495801,116.6069332,113,36
334,ZBAA,STAND,40.05449143,116.6065424,123,36
335,ZBAA,STAND,40.05393474,116.6058173,133,36
336,ZBAA,STAND,40.05351617,116.6051155,133,36
337,ZBAA,STAND,40.0531274,116.6044102,133,36
351,ZBAA,STAND,40.05802708,116.6038458,263,36
352,ZBAA,STAND,40.05856106,116.603773,263,36
353,ZBAA,STAND,40.05908695,116.6036921,263,36
354,ZBAA,STAND,40.05962901,116.6036031,263,36
355,ZBAA,STAND,40.0601549,116.6035303,263,36
356,ZBAA,STAND,40.06069697,116.6034332,263,36
357,ZBAA,STAND,40.06121477,116.603328,263,36
358,ZBAA,STAND,40.06023376,116.6134452,83,36
359,ZBAA,STAND,40.06076922,116.6133702,83,36
360,ZBAA,STAND,40.0613015,116.6132891,83,36
361,ZBAA,STAND,40.06182829,116.6132019,83,36
401,ZBAA,STAND,40.06410596,116.6095979,263,36
402,ZBAA,STAND,40.06464212,116.6094866,263,36
403,ZBAA,STAND,40.06518739,116.6094253,263,36
404,ZBAA,STAND,40.06573844,116.6093443,263,36
405,ZBAA,STAND,40.06630131,116.6092781,263,36
406,ZBAA,STAND,40.06698053,116.6091757,263,36
407,ZBAA,STAND,40.06766382,116.609072,263,36
408,ZBAA,STAND,40.06732442,116.6054273,83,36
409,ZBAA,STAND,40.06663672,116.6055163,83,36
410,ZBAA,STAND,40.06598475,116.6056376,83,36
411,ZBAA,STAND,40.0654005,116.60578,83,36
412,ZBAA,STAND,40.06486607,116.6058562,83,36
413,ZBAA,STAND,40.06432043,116.6059415,83,36
414,ZBAA,STAND,40.06377744,116.6060246,83,36
451,ZBAA,STAND,40.06358581,116.6039339,263,36
452,ZBAA,STAND,40.0641241,116.6038446,263,36
453,ZBAA,STAND,40.06465718,116.6037671,263,36
454,ZBAA,STAND,40.06519088,116.6036814,263,36
455,ZBAA,STAND,40.06575598,116.6035905,263,36
456,ZBAA,STAND,40.06629186,116.6035086,263,36
457,ZBAA,STAND,40.06682432,116.603413,263,36
458,ZBAA,STAND,40.06735337,116.6033379,263,36
459,ZBAA,STAND,40.06430803,116.6116678,83,36
460,ZBAA,STAND,40.06481408,116.6115942,83,36
461,ZBAA,STAND,40.06535533,116.6115068,83,36
462,ZBAA,STAND,40.06588386,116.6114261,83,36
463,ZBAA,STAND,40.06647879,116.6113215,83,36
464,ZBAA,STAND,40.0670158,116.6112532,83,36
465,ZBAA,STAND,40.06754959,116.6111656,83,36
466,ZBAA,STAND,40.06808042,116.6110959,83,36
501,ZBAA,STAND,40.06997262,116.6086225,263,36
502,ZBAA,STAND,40.07044211,116.608622,263,36
503,ZBAA,STAND,40.07092065,116.6085523,263,36
504,ZBAA,STAND,40.07135218,116.608464,263,36
505,ZBAA,STAND,40.07186368,116.6084095,263,36
506,ZBAA,STAND,40.07230516,116.608299,263,36
507,ZBAA,STAND,40.0730483,116.608034,263,36
508,ZBAA,STAND,40.07385534,116.6078944,263,36
509,ZBAA,STAND,40.07466612,116.6077794,263,36
510,ZBAA,STAND,40.07546666,116.6076585,273,36
511,ZBAA,STAND,40.07616121,116.6078427,283,36
512,ZBAA,STAND,40.07680428,116.6082349,293,36
513,ZBAA,STAND,40.07752926,116.6090543,303,36
514,ZBAA,STAND,40.07793706,116.6097513,303,36
515,ZBAA,STAND,40.07978685,116.6094287,123,36
516,ZBAA,STAND,40.07937692,116.6088246,123,36
517,ZBAA,STAND,40.07906127,116.6081315,123,36
518,ZBAA,STAND,40.07863735,116.6075519,123,36
519,ZBAA,STAND,40.07832642,116.6068501,123,36
520,ZBAA,STAND,40.07808486,116.6043138,213,36
521,ZBAA,STAND,40.07825821,116.6035349,213,36
522,ZBAA,STAND,40.07856287,116.6028349,213,36
523,ZBAA,STAND,40.07875194,116.6020646,213,36
524,ZBAA,STAND,40.0790558,116.601373,213,36
525,ZBAA,STAND,40.07718579,116.6016052,43,36
526,ZBAA,STAND,40.07691733,116.6024101,43,36
527,ZBAA,STAND,40.07636181,116.6034309,53,36
528,ZBAA,STAND,40.07580516,116.6040083,63,36
529,ZBAA,STAND,40.07516441,116.6044004,73,36
530,ZBAA,STAND,40.07436313,116.6045587,83,36
531,ZBAA,STAND,40.07374817,116.6046377,83,36
532,ZBAA,STAND,40.07314319,116.604704,83,36
533,ZBAA,STAND,40.07246264,116.6049647,83,36
534,ZBAA,STAND,40.0716739,116.6050838,83,36
535,ZBAA,STAND,40.07087586,116.6052029,83,36
536,ZBAA,STAND,40.07025254,116.6053,83,36
551,ZBAA,STAND,40.06987169,116.6029801,263,36
552,ZBAA,STAND,40.07041376,116.6028911,263,36
553,ZBAA,STAND,40.07093155,116.6028021,263,36
554,ZBAA,STAND,40.07147362,116.6027212,263,36
555,ZBAA,STAND,40.07423251,116.6024381,263,36
556,ZBAA,STAND,40.07484739,116.6022844,263,36
557,ZBAA,STAND,40.08029828,116.602052,33,36
558,ZBAA,STAND,40.08010286,116.6028179,33,36
559,ZBAA,STAND,40.07981292,116.6035232,33,36
560,ZBAA,STAND,40.07031664,116.610618,83,36
561,ZBAA,STAND,40.07099817,116.6105031,83,36
562,ZBAA,STAND,40.07166064,116.6104054,83,36
563,ZBAA,STAND,40.07248174,116.6102804,83,36
564,ZBAA,STAND,40.07315818,116.6101827,83,36
565,ZBAA,STAND,40.07383653,116.6100761,83,36
602,ZBAA,STAND,40.059842,116.594041,263,36
603,ZBAA,STAND,40.059203,116.59414,263,36
604,ZBAA,STAND,40.058656,116.594227,263,36
605,ZBAA,STAND,40.05805522,116.5943659,263,36
608,ZBAA,STAND,40.05686166,116.5946737,263,36
609,ZBAA,STAND,40.05624066,116.5947842,263,36
610,ZBAA,STAND,40.05560362,116.5948594,263,36
611,ZBAA,STAND,40.05498646,116.594961,263,36
